Source,Target,Relation,Type,Weight
Protein_EIF2AK2,Protein_ILF3,hasPhysicalInteractionWith,Undirected,1.0
Protein_EIF2AK2,Protein_ILF3,hasPhysicalInteractionWith,Undirected,1.0
Protein_EIF2AK2,Protein_EIF2AK2,hasPhysicalInteractionWith,Undirected,1.0
Protein_EIF2AK2,Protein_HNRNPC,hasPhysicalInteractionWith,Undirected,1.0
Protein_EIF2AK2,Protein_MOV10,hasPhysicalInteractionWith,Undirected,1.0
Protein_EIF3A,Protein_RPLP1,hasPhysicalInteractionWith,Undirected,1.0
Protein_EIF3A,Protein_NUDT21,hasPhysicalInteractionWith,Undirected,1.0
Protein_EIF3A,Protein_RPS9,hasPhysicalInteractionWith,Undirected,1.0
Protein_EIF3A,Protein_RPS9,hasPhysicalInteractionWith,Undirected,1.0
Protein_ETS1,Protein_DAXX,hasPhysicalInteractionWith,Undirected,1.0
Protein_ETS1,Protein_DAXX,hasPhysicalInteractionWith,Undirected,1.0
Protein_ETS1,Protein_TDP2,hasPhysicalInteractionWith,Undirected,1.0
Protein_ETS1,Protein_TDP2,hasPhysicalInteractionWith,Undirected,1.0
Protein_ETS1,Protein_RUNX2,hasPhysicalInteractionWith,Undirected,1.0
Protein_ETS1,Protein_RUNX2,hasPhysicalInteractionWith,Undirected,1.0
Protein_FEZ1,Protein_ACTG1,hasPhysicalInteractionWith,Undirected,1.0
Protein_FEZ1,Protein_FEZ1,hasPhysicalInteractionWith,Undirected,1.0
Protein_FYN,Protein_CLTC,hasPhysicalInteractionWith,Undirected,1.0
Protein_FYN,Protein_PIK3R1,hasPhysicalInteractionWith,Undirected,1.0
Protein_FYN,Protein_PIK3R1,hasPhysicalInteractionWith,Undirected,1.0
Protein_FYN,Protein_UNC119,hasPhysicalInteractionWith,Undirected,1.0
Protein_FYN,Protein_CTNNB1,hasPhysicalInteractionWith,Undirected,1.0
Protein_FYN,Protein_CTNNB1,hasPhysicalInteractionWith,Undirected,1.0
Protein_FYN,Protein_FYN,hasPhysicalInteractionWith,Undirected,1.0
Protein_FYN,Protein_PTK2B,hasPhysicalInteractionWith,Undirected,1.0
Protein_FYN,Protein_PTK2B,hasPhysicalInteractionWith,Undirected,1.0
Protein_FYN,Protein_NR3C1,hasPhysicalInteractionWith,Undirected,1.0
Protein_FYN,Protein_SH3KBP1,hasPhysicalInteractionWith,Undirected,1.0
Protein_FYN,Protein_SH3KBP1,hasPhysicalInteractionWith,Undirected,1.0
Protein_G3BP1,Protein_USP10,hasPhysicalInteractionWith,Undirected,1.0
Protein_G3BP1,Protein_USP10,hasPhysicalInteractionWith,Undirected,1.0
